"[object Object]","类型","占有内存","Key数量","元素数量"
"bibi","zset","874.78 MB","1.16M","12.65M"
"bibi","hash","663.18 MB","635.24K","8.91M"
"bibi","string","633.02 MB","3.43M","3.43M"
"bibi","set","594.80 MB","453.96K","8.05M"
"bibi_user","zset","464.22 MB","877.75K","7.03M"
"bibi_user","hash","342.56 MB","330.55K","6.59M"
"bibi:{gift","set","302.48 MB","72.50K","3.71M"
"bibi:{gift_red","set","302.48 MB","72.50K","3.71M"
"bibi_user","string","292.65 MB","1.42M","1.42M"
"bibi_check","hash","244.13 MB","180.50K","964.57K"
"bibi_check_in","hash","244.13 MB","180.50K","964.57K"
"bibi_moment","set","226.82 MB","47.96K","2.82M"
"bibi_moment_view","set","226.82 MB","47.94K","2.82M"
"bibi:moments","zset","197.20 MB","18.23K","2.47M"
"bibi:moments_vistor","zset","197.20 MB","18.23K","2.47M"
"bibi_h5","string","178.72 MB","1.38M","1.38M"
"bibi_h5_login","string","178.36 MB","1.38M","1.38M"
"bibi_user_login","zset","157.85 MB","489.82K","2.47M"
"bibi_user_remark","string","152.46 MB","1.25M","1.25M"
"bibi_user_last","hash","143.06 MB","41.50K","3.86M"
"bibi_room","zset","120.25 MB","63.04K","1.22M"
"bibi_user_mission","hash","117.64 MB","1","93.39K"
"bibi_user_visitor","zset","112.92 MB","214.43K","2.01M"
"bibi_user_total","zset","88.10 MB","19.05K","1.20M"
"bibi_user_summary","string","78.15 MB","28.54K","28.54K"
"bibi_user_active","zset","71.69 MB","8","803.74K"
"bibi_room_visitor","zset","61.91 MB","35.24K","762.88K"
"bibi_moment","zset","54.70 MB","46.97K","1.09M"
"bibi_moment_show","zset","54.70 MB","46.97K","1.09M"
"bibi_room","hash","53.67 MB","101.36K","867.99K"
"bibi_user_like","hash","35.03 MB","126.24K","1.47M"
"bibi_platform","set","34.74 MB","5","993.48K"
"bibi_platform_push","set","34.74 MB","5","993.48K"
"bibi_task","string","31.70 MB","377.27K","377.27K"
"bibi_task_rule","string","31.70 MB","377.27K","377.27K"
"bibi_room_dating","zset","25.47 MB","2","7.91K"
"bibi_user","set","22.98 MB","258.26K","375.01K"
"bibi_room_total","zset","22.27 MB","5.61K","282.75K"
"bibi_user_mission","set","22.06 MB","254.52K","368.11K"
"bibi_mq","string","22.05 MB","16.53K","16.53K"
"bibi_mq_gift","string","19.45 MB","12.01K","12.01K"
"bibi_uid","string","17.39 MB","21.30K","21.30K"
"bibi_room_fm","hash","17.05 MB","2.01K","402.46K"
"bibi_room","string","16.32 MB","15.53K","15.53K"
"bibi_acc","string","14.94 MB","30.53K","30.53K"
"bibi_acc_latest","string","14.94 MB","30.53K","30.53K"
"bibi_room_mic","hash","14.90 MB","23.81K","214.75K"
"bibi_user_punch","zset","13.95 MB","93.87K","276.44K"
"bibi_uid_custom","string","13.71 MB","10.11K","10.11K"
"bibi_pal","string","12.63 MB","29","29"
"bibi_pal_single","string","12.63 MB","2","2"
"bibi_user_counter","hash","12.44 MB","135.01K","192.75K"
"bibi_had","string","12.00 MB","1","1"
"bibi_had_played","string","12.00 MB","1","1"
"bibi_forbid","string","12.00 MB","1","1"
"bibi_forbid_following","string","12.00 MB","1","1"
"bibi_user_act","zset","11.14 MB","24","124.03K"
"bibi_user_is","string","10.97 MB","71.86K","71.86K"
"bibi_task","zset","10.70 MB","104.84K","398.33K"
"bibi_task_rule","zset","10.70 MB","104.84K","398.33K"
"bibi_user_level","hash","9.71 MB","4.93K","290.37K"
"bibi_radio","zset","8.28 MB","7.40K","129.20K"
"bibi_radio_room","zset","8.28 MB","7.40K","129.20K"
"bibi_achievement","set","7.63 MB","74.30K","135.71K"
"bibi_achievement_user","set","7.63 MB","74.30K","135.71K"
"bibi_room_recive","zset","7.55 MB","6.14K","118.12K"
"bibi_report","hash","7.42 MB","1","192.99K"
"bibi_report_user","hash","7.42 MB","1","192.99K"
"bibi_user_attach","hash","7.22 MB","1","27.16K"
"bibi_room_user","hash","7.14 MB","59.42K","59.42K"
"bibi_convene","string","6.60 MB","36.11K","36.11K"
"bibi_convene_id","string","6.60 MB","36.11K","36.11K"
"bibi_user_permit","zset","5.25 MB","53.64K","61.06K"
"bibi_vip","string","5.07 MB","47.34K","47.34K"
"bibi_vip_user","string","5.07 MB","47.34K","47.34K"
"bibi_gift","zset","4.96 MB","34.88K","98.58K"
"bibi_gift_rocket","zset","4.96 MB","34.88K","98.58K"
"bibi_rank","zset","4.57 MB","1.71K","61.82K"
"bibi_rank_room","zset","4.57 MB","1.71K","61.82K"
"bibi_user_gift","hash","4.24 MB","21.09K","396.18K"
"bibi_person","hash","4.13 MB","1","115.09K"
"bibi_person_room","hash","4.13 MB","1","115.09K"
"bibi_personal","zset","3.49 MB","1","37.13K"
"bibi_achievement","hash","3.47 MB","28","88.87K"
"bibi_achievement_finish","hash","3.47 MB","28","88.87K"
"bibi_private","hash","3.14 MB","5.24K","9.22K"
"bibi_user_wxpub","hash","3.09 MB","1","69.32K"
"bibi_uid_access","string","2.89 MB","5.40K","5.40K"
